# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
4.75	1.5	9.57255e-05	-3.33787e-06	2.22625e-05	-2.98025e-07
4.75	1.4	9.75137e-05	-3.6955e-06	2.24711e-05	-3.27827e-07
4.75	1.3	0.000101567	-3.81473e-06	2.27989e-05	-3.5763e-07
4.75	1.2	0.000105024	-4.17235e-06	2.30373e-05	-3.87432e-07
4.75	1.1	0.000107885	-4.29156e-06	2.32757e-05	-3.5763e-07
4.75	1	0.000112296	-4.7684e-06	2.3544e-05	-3.5763e-07
4.75	0.9	0.000119448	-5.48366e-06	2.37824e-05	-4.76841e-07
4.75	0.8	0.000127316	-6.19891e-06	2.4587e-05	-4.76841e-07
4.75	0.7	0.000132085	-6.91417e-06	2.59877e-05	-5.36445e-07
4.75	0.6	0.000140906	-7.74866e-06	2.76567e-05	-6.55655e-07
4.75	0.5	0.000155807	-9.41759e-06	2.95044e-05	-8.34469e-07
4.75	0.4	0.000167252	-1.09673e-05	3.21569e-05	-9.83484e-07
4.75	0.3	0.000183226	-1.31131e-05	3.5614e-05	-1.2219e-06
4.75	0.2	0.000201822	-1.57357e-05	4.01738e-05	-1.51993e-06
4.75	0.0999999999999999	0.000222565	-1.94312e-05	4.67303e-05	-2.05637e-06
4.75	0	0.000272753	-2.88488e-05	5.58796e-05	-3.12926e-06

5	2	0.000188471	-1.44244e-05	3.66571e-05	-1.34111e-06
5	1.9	0.000130774	-6.55654e-06	2.54215e-05	-5.06643e-07
5	1.8	0.000110746	-4.64919e-06	2.33949e-05	-4.17234e-07
5	1.7	0.000103236	-4.05314e-06	2.29479e-05	-3.5763e-07
5	1.6	9.76329e-05	-3.57629e-06	2.24115e-05	-3.27827e-07
5	1.5	9.54871e-05	-3.57629e-06	2.22625e-05	-2.98025e-07
5	1.4	9.73945e-05	-3.6955e-06	2.24413e-05	-2.68223e-07
5	1.3	0.000101448	-3.93394e-06	2.27691e-05	-3.5763e-07
5	1.2	0.000105024	-4.17235e-06	2.30075e-05	-3.5763e-07
5	1.1	0.000107885	-4.29156e-06	2.32161e-05	-3.5763e-07
5	1	0.000112176	-4.88761e-06	2.35141e-05	-3.87432e-07
5	0.9	0.000119448	-5.48366e-06	2.38122e-05	-4.17234e-07
5	0.8	0.000127316	-6.0797e-06	2.4587e-05	-5.06643e-07
5	0.7	0.000132204	-6.79496e-06	2.59877e-05	-5.9605e-07
5	0.6	0.000140549	-7.86787e-06	2.76865e-05	-6.55655e-07
5	0.5	0.000155688	-9.65601e-06	2.95938e-05	-8.04666e-07
5	0.4	0.000167132	-1.10865e-05	3.21569e-05	-9.83484e-07
5	0.3	0.000183226	-1.32323e-05	3.56438e-05	-1.2517e-06
5	0.2	0.000202061	-1.57357e-05	4.02036e-05	-1.54973e-06
5	0.0999999999999999	0.000222803	-1.94312e-05	4.67899e-05	-2.02657e-06
5	0	0.000273349	-2.88488e-05	5.59094e-05	-3.12926e-06

5.25	2	0.000188232	-1.43052e-05	3.66273e-05	-1.34111e-06
5.25	1.9	0.000130774	-6.55654e-06	2.54215e-05	-5.66248e-07
5.25	1.8	0.000110388	-4.64919e-06	2.34247e-05	-3.87432e-07
5.25	1.7	0.000103355	-3.93394e-06	2.29181e-05	-3.5763e-07
5.25	1.6	9.75137e-05	-3.57629e-06	2.23817e-05	-2.68223e-07
5.25	1.5	9.54871e-05	-3.57629e-06	2.22326e-05	-3.27827e-07
5.25	1.4	9.72752e-05	-3.57629e-06	2.24115e-05	-3.27827e-07
5.25	1.3	0.000101448	-3.93394e-06	2.27393e-05	-3.5763e-07
5.25	1.2	0.000105024	-4.05314e-06	2.30373e-05	-3.87432e-07
5.25	1.1	0.000107766	-4.41077e-06	2.32459e-05	-3.87432e-07
5.25	1	0.000112415	-4.7684e-06	2.35141e-05	-4.17234e-07
5.25	0.9	0.00011921	-5.36445e-06	2.38122e-05	-4.76841e-07
5.25	0.8	0.000127436	-6.19891e-06	2.46466e-05	-5.06643e-07
5.25	0.7	0.000132204	-6.67575e-06	2.60175e-05	-5.66248e-07
5.25	0.6	0.000140549	-7.86787e-06	2.76865e-05	-6.55655e-07
5.25	0.5	0.000155688	-9.41759e-06	2.95938e-05	-8.04666e-07
5.25	0.4	0.000167013	-1.09673e-05	3.21569e-05	-9.83484e-07
5.25	0.3	0.000183345	-1.32323e-05	3.5614e-05	-1.2517e-06
5.25	0.2	0.000201822	-1.57357e-05	4.02632e-05	-1.54973e-06
5.25	0.0999999999999999	0.000222684	-1.94312e-05	4.68197e-05	-2.05637e-06
