# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 190	21
25	0.9	0.000118494	-5.24524e-06	2.46466e-05	-3.87432e-07
25	0.8	0.000126363	-6.0797e-06	2.58685e-05	-4.76841e-07
25	0.7	0.000132919	-6.67575e-06	2.73586e-05	-5.9605e-07
25	0.6	0.000141979	-7.74866e-06	2.91766e-05	-6.25852e-07
25	0.5	0.000154735	-9.29838e-06	3.14119e-05	-8.04666e-07
25	0.4	0.000168682	-1.08481e-05	3.42431e-05	-9.83484e-07
25	0.3	0.000184298	-1.28747e-05	3.77598e-05	-1.2517e-06
25	0.2	0.00020218	-1.54973e-05	4.20513e-05	-1.57953e-06
25	0.0999999999999999	0.000220419	-1.85968e-05	4.69985e-05	-1.96697e-06
25	0	0.000246407	-2.33651e-05	5.20947e-05	-2.59282e-06

26	2	0.000184298	-1.32323e-05	3.76108e-05	-1.2517e-06
26	1.9	0.000130177	-6.55654e-06	2.66732e-05	-5.36445e-07
26	1.8	0.000109554	-4.52998e-06	2.32757e-05	-3.5763e-07
26	1.7	0.000100017	-3.81473e-06	2.19048e-05	-2.68223e-07
26	1.6	9.54871e-05	-3.45708e-06	2.13088e-05	-2.3842e-07
26	1.5	9.4295e-05	-3.33787e-06	2.12194e-05	-2.3842e-07
26	1.4	9.53679e-05	-3.33787e-06	2.13386e-05	-2.3842e-07
26	1.3	9.81097e-05	-3.6955e-06	2.1726e-05	-2.68223e-07
26	1.2	0.000102163	-3.93394e-06	2.22028e-05	-2.98025e-07
26	1.1	0.000106574	-4.41077e-06	2.28883e-05	-3.5763e-07
26	1	0.000111819	-4.7684e-06	2.3693e-05	-3.5763e-07
26	0.9	0.000118852	-5.36445e-06	2.46764e-05	-3.87432e-07
26	0.8	0.000126482	-6.0797e-06	2.59579e-05	-4.76841e-07
26	0.7	0.000133158	-6.91417e-06	2.74183e-05	-5.36445e-07
26	0.6	0.000142098	-7.62945e-06	2.92362e-05	-6.55655e-07
26	0.5	0.000154854	-8.94075e-06	3.14715e-05	-8.04666e-07
26	0.4	0.00016892	-1.08481e-05	3.43027e-05	-9.83484e-07
26	0.3	0.000184418	-1.29939e-05	3.78492e-05	-1.2219e-06
26	0.2	0.000201822	-1.54973e-05	4.20215e-05	-1.51993e-06
26	0.0999999999999999	0.000219942	-1.84776e-05	4.68793e-05	-1.93717e-06
26	0	0.000245096	-2.30075e-05	5.17073e-05	-2.53321e-06

27	2	0.000184537	-1.32323e-05	3.76704e-05	-1.2219e-06
27	1.9	0.000130416	-6.43733e-06	2.67328e-05	-5.36445e-07
27	1.8	0.000109554	-4.41077e-06	2.32757e-05	-3.5763e-07
27	1.7	0.000100017	-3.6955e-06	2.19048e-05	-2.68223e-07
27	1.6	9.54871e-05	-3.57629e-06	2.13386e-05	-2.3842e-07
27	1.5	9.44142e-05	-3.21867e-06	2.11896e-05	-2.3842e-07
27	1.4	9.53679e-05	-3.45708e-06	2.13684e-05	-2.3842e-07
27	1.3	9.81097e-05	-3.57629e-06	2.16962e-05	-2.68223e-07
27	1.2	0.000102044	-3.93394e-06	2.22326e-05	-3.27827e-07
27	1.1	0.000106693	-4.29156e-06	2.28883e-05	-3.27827e-07
27	1	0.000111819	-4.7684e-06	2.37228e-05	-3.87432e-07
27	0.9	0.000118852	-5.36445e-06	2.4736e-05	-4.17234e-07
27	0.8	0.000126363	-6.0797e-06	2.59877e-05	-4.76841e-07
27	0.7	0.000133158	-6.67575e-06	2.74779e-05	-5.66248e-07
27	0.6	0.000142337	-7.62945e-06	2.93256e-05	-6.55655e-07
27	0.5	0.000154973	-9.17917e-06	3.15907e-05	-8.04666e-07
