# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 91	101
8700	9.9	5.38828e-05	-1.66894e-06	8.1957e-06
8700	9.8	4.62534e-05	-1.1921e-06	7.92748e-06
8700	9.7	3.64783e-05	-7.15259e-07	6.49694e-06
8700	9.6	2.9564e-05	-4.76841e-07	5.60287e-06
8700	9.5	2.45572e-05	-2.3842e-07	5.00682e-06
8700	9.4	2.28883e-05	-2.3842e-07	4.52998e-06
8700	9.3	2.33651e-05	-3.5763e-07	4.41077e-06
8700	9.2	2.34843e-05	-2.3842e-07	4.38097e-06
8700	9.1	2.30075e-05	-2.3842e-07	4.47038e-06
8700	9	2.26499e-05	-2.3842e-07	4.67899e-06
8700	8.9	2.43188e-05	-3.5763e-07	4.97702e-06
8700	8.8	2.65838e-05	-3.5763e-07	5.24524e-06
8700	8.7	2.88488e-05	-3.5763e-07	5.51346e-06
8700	8.6	3.0637e-05	-3.5763e-07	5.78168e-06
8700	8.5	3.27828e-05	-7.15259e-07	6.10951e-06
8700	8.4	3.54054e-05	-5.9605e-07	6.40753e-06
8700	8.3	3.81472e-05	-7.15259e-07	6.67575e-06
8700	8.2	4.07698e-05	-1.07289e-06	7.00357e-06
8700	8.1	4.30348e-05	-1.07289e-06	7.39101e-06
8700	8	4.51806e-05	-1.31131e-06	7.83807e-06
8700	7.9	4.70879e-05	-1.31131e-06	8.04669e-06
8700	7.8	4.87568e-05	-1.54973e-06	8.2255e-06
8700	7.7	5.01873e-05	-1.43052e-06	8.2553e-06
8700	7.6	5.18563e-05	-1.54973e-06	8.37451e-06
8700	7.5	5.35252e-05	-1.54973e-06	8.37451e-06
8700	7.4	5.44789e-05	-1.66894e-06	8.2851e-06
8700	7.3	5.50749e-05	-1.66894e-06	8.16589e-06
8700	7.2	5.51941e-05	-1.66894e-06	8.04669e-06
8700	7.1	5.47173e-05	-1.66894e-06	7.89767e-06
8700	7	5.32868e-05	-1.66894e-06	7.95728e-06
8700	6.9	5.14986e-05	-1.54973e-06	8.13609e-06
8700	6.8	4.95913e-05	-1.66894e-06	8.13609e-06
8700	6.7	4.828e-05	-1.43052e-06	8.1957e-06
8700	6.6	4.73263e-05	-1.43052e-06	7.89767e-06
8700	6.5	4.62534e-05	-1.43052e-06	7.21219e-06
8700	6.4	4.48229e-05	-1.31131e-06	6.43733e-06
8700	6.3	4.25579e-05	-1.1921e-06	5.93069e-06
8700	6.2	4.04122e-05	-1.07289e-06	5.69227e-06
8700	6.1	3.85048e-05	-1.07289e-06	5.63267e-06
8700	6	3.73127e-05	-9.53682e-07	5.78168e-06
8700	5.9	3.54054e-05	-9.53682e-07	6.25852e-06
8700	5.8	3.42133e-05	-8.34469e-07	7.06318e-06
8700	5.7	3.63591e-05	-9.53682e-07	8.49372e-06
8700	5.6	4.22003e-05	-1.07289e-06	9.32819e-06
8700	5.5	4.79224e-05	-1.54973e-06	9.92423e-06
8700	5.4	5.16179e-05	-1.66894e-06	1.04607e-05
8700	5.3	5.60286e-05	-2.02657e-06	1.11461e-05
8700	5.2	6.22277e-05	-2.3842e-06	1.16528e-05
8700	5.1	6.92611e-05	-2.98025e-06	1.24872e-05
8700	5	7.70097e-05	-3.45708e-06	1.39475e-05
8700	4.9	8.49967e-05	-4.17235e-06	1.52589e-05
8700	4.8	9.13148e-05	-4.7684e-06	1.62722e-05
8700	4.7	9.78713e-05	-5.48366e-06	1.7047e-05
8700	4.6	0.000104309	-6.31812e-06	1.74643e-05
8700	4.5	0.000110269	-6.79496e-06	1.76431e-05
8700	4.4	0.000115276	-7.51021e-06	1.76133e-05
8700	4.3	0.000118494	-7.86787e-06	1.78517e-05
8700	4.2	0.000119448	-8.34471e-06	1.85074e-05
8700	4.1	0.000118137	-8.34471e-06	1.89246e-05
8700	4	0.00011623	-8.10629e-06	1.90438e-05
8700	3.9	0.000113726	-7.86787e-06	1.88948e-05
8700	3.8	0.000109792	-7.51021e-06	1.84478e-05
8700	3.7	0.00010717	-7.15259e-06	1.75239e-05
8700	3.6	0.000104785	-6.91417e-06	1.69278e-05
8700	3.5	0.000102044	-6.67575e-06	1.62126e-05
8700	3.4	9.75137e-05	-6.0797e-06	1.41264e-05
8700	3.3	9.203e-05	-5.48366e-06	1.14143e-05
8700	3.2	8.48775e-05	-4.88761e-06	8.67253e-06
8700	3.1	7.93939e-05	-4.17235e-06	6.64595e-06
8700	3	7.21221e-05	-3.6955e-06	5.09623e-06
8700	2.9	6.09162e-05	-2.62262e-06	3.01005e-06
8700	2.8	5.78167e-05	-2.50341e-06	2.53321e-06
8700	2.7	6.96187e-05	-3.21867e-06	4.23196e-06
8700	2.6	9.63216e-05	-5.36445e-06	1.03117e-05
8700	2.5	0.000119567	-7.86787e-06	1.38879e-05
8700	2.4	0.000139357	-1.04905e-05	1.62424e-05
8700	2.3	0.000149013	-1.21594e-05	1.73749e-05
8700	2.2	0.000154854	-1.35899e-05	1.89544e-05
